no,MOLENAME,Plate location,cas,"Weight, mg",Bioactivity,Formula,MolWt,Status,Reference
384,Ropivacaine HCl,5-G5,98717-15-8,"125µl,10mMol/L",Ropivacaine is a local anaesthetic drug belonging to the amino amide group. The name ropivacaine refers to both the racemate and the marketed S-enantiomer. Ropivacaine hydrochloride is commonly marketed by AstraZeneca under the trade name Naropin. ,C17H26N2O.HCl,310.86,USA,"1. Imming P, et al. Nat Rev Drug Discov. 2006, 5(10):821-34."
385,Allotropal,5-G6,77-75-8,"125µl,10mMol/L",3-Methyl-1-pentyn-3-ol has the potencial proterty to inhibit CYP3A.,C6H10O,98.14,INN,"1. Mannering GJ, Shoeman JA. Xenobiotica. 1996 May;26(5):487-93."
386,Cilnidipine,5-G7,132203-70-4,"125µl,10mMol/L","Dual L- and N-type calcium channel blocker that displays antihypertensive, sympatholytic and neuroprotective activity. Lowers mean blood pressure and reduces the size of cerebral infarction in the rat model of focal brain ischemia.",C27H28N2O7,492.53,INN,"1. Takahara A, et al. Hypertens Res,2003, 26(9), 743-747."
387,Dabigatran etexilate,5-G8,211915-06-9,"125µl,10mMol/L","Dabigatran etexilate is an oral prodrug that is metabolized by a serum esterase to dabigatran. It is a synthetic, competitive and reversible direct thrombin inhibitor. Inhibition of thrombin disrupts the coagulation cascade and inhibits the formation of clots. Dabigatran etexilate may be used to decrease the risk of venous thromboembolic events in patients who have undergone total hip or knee replacement surgery, or to prevent stroke and systemic embolism in patients with atrial fibrillation, in whom anticoagulation therapy is indicated. In contrast to warfarin, because its anticoagulant effects are predictable, lab monitoring is not necessary. FDA approved on October 19, 2010.",C34H41N7O5,627.73,USAN,"1. Squizzato A, et al. Intern Emerg Med. 2009 Dec;4(6):479-84. "
388,Alkomide,5-G9,3011-89-0,"125µl,10mMol/L","Aklomide, known as a kind of Benzamide compounds, has antimicrobial and antioxidant activity. ",C7H5ClN2O3,200.58,"USAN, INN, BAN","1. Baron RR, et al. Poult Sci. 1966 Mar;45(2):411-8. "
389,Linezolid,5-G10,165800-03-3,"125µl,10mMol/L","Linezolid is a synthetic antibiotic, the first of the oxazolidinone class, used for the treatment of infections caused by multi-resistant bacteria including streptococcus and methicillin-resistant Staphylococcus aureus (MRSA). The drug works by inhibiting the initiation of bacterial protein synthesis. ",C16H20FN3O4,337.35,"USAN, INN, BAN","1. Stevens DL, et al. Expert Rev Anti Infect Ther. 2004 Feb;2(1):51-9. "
390,Artemisinin,5-G11,63968-64-9,"125µl,10mMol/L","Artemisinin is a drug used to treat multi-drug resistant strains of falciparum malaria (as well as increasingly vivax malaria). The compound is isolated from the plant Artemisia annua, a herb described in Chinese traditional medicine, though it is usually chemically modified and combined with other medications. The drug is also being studied as a treatment for cancer.",C15H22O5,282.33,INN,"1. Mbengue A, et al. Nature. 2015 Apr 30;520(7549):683-7. "
391,Anastrozole,5-H2,120511-73-1,"125µl,10mMol/L","Anastrozole is a drug indicated in the treatment of breast cancer in post-menopausal women. It is used both in adjuvant therapy (i.e. following surgery) and in metastatic breast cancer. It decreases the amount of estrogens that the body makes. Anastrozole belongs in the class of drugs known as aromatase inhibitors. It inhibits the enzyme aromatase, which is responsible for converting androgens (produced by women in the adrenal glands) to estrogens. ",C17H19N5,293.37,"USAN, INN, BAN","1. Dukes M, et al. J Steroid Biochem Mol Biol, 1996, 58(4), 439-445."
392,Prochlorperazine Maleate,5-H3,30718,"125µl,10mMol/L","A phenothiazine antipsychotic used principally in the treatment of NAUSEA; VOMITING; and VERTIGO. It is more likely than CHLORPROMAZINE to cause EXTRAPYRAMIDAL DISORDERS. (From Martindale, The Extra Pharmacopoeia, 30th ed, p612) ",C28H32ClN3O8S,606.09,"USP, JAN","1. Hamik A, Peroutka SJ. Cancer Chemother Pharmacol. 1989;24(5):307-10. "
393,Moxisylyte HCl,5-H4,964-52-3,"125µl,10mMol/L","An alpha-adrenergic blocking agent that is used in Raynaud's disease. It is also used locally in the eye to reverse the mydriasis caused by phenylephrine and other sympathomimetic agents. (From Martindale, The Extra Pharmacopoeia, 30th ed, p1312) ",C16H26ClNO3,315.84,"INN, BAN, JAN","1. Imagawa A, et al. Life Sci. 1989;44(9):619-23."
394,Pyrantel tartrate,5-H5,33401-94-4,"125µl,10mMol/L",Broad spectrum anthelmintic for livestock. ,C15H20N2O6S,356.39,"USP, INN, BAN, JAN","1. Pratt SE, et al. Am J Vet Res. 1981 May;42(5):871-2."
395,Pipemidic acid,5-H6,51940-44-4,"125µl,10mMol/L","Antimicrobial against Gram negative and some Gram positive bacteria. It is protein bound and concentrated in bile and urine and used for gastrointestinal, biliary, and urinary infections. ",C14H17N5O3,303.32,"INN, BAN, JAN","1. Hoeglund AB, et al.
J Med Chem. 2010 Feb 11;53(3):1056-66."
396,Tetryzoline,5-H7,84-22-0,"125µl,10mMol/L",Tetrahydrozoline is an alpha agonist and its main mechanism of action is the constriction of conjunctival blood vessels. This serves to relieve the redness of the eye caused by minor ocular irritants.,C13H16N2,200.28,"USP, INN, BAN, JAN","1. Dahlström M, et al. J Exp Zool A Comp Exp Biol. 2005 Jul 1;303(7):551-62."
397,Carzenide,5-H8,138-41-0,"125µl,10mMol/L",A white powder.,C7H7NO4S,201.2,INN,1. Petzinger E. Dtsch Tierarztl Wochenschr. 1992 Oct;99(10):412-5.
398,Birch-Me,5-H9,119-36-8,"125µl,10mMol/L","Methyl salicylate (oil of wintergreen or wintergreen oil) is an organic ester naturally produced by many species of plants, particularly wintergreens. It is also synthetically produced, used as a fragrance, in foods and beverages, and in liniments.",C8H8O3,152.15,"INN, JAN","1. Spiandore M, et al. Drug Test Anal. 2014 Jun;6 Suppl 1:67-73."
399,Nitroxoline,5-H10,4008-48-4,"125µl,10mMol/L",Nitroxoline is an antibiotic that has proven to be very effective at combating biofilm infections. Nitroxoline functions by chelating Fe2+ and Zn2+ ions from the biofilm matrix.,C9H6N2O3,190.16,,"1. Chang WL, et al. Oncotarget. 2015 Nov 24;6(37):39806-20."
400,Benzethonium chloride,5-H11,121-54-0,"125µl,10mMol/L","Bactericidal cationic quaternary ammonium surfactant used as a topical anti-infective agent. It is an ingredient in medicaments, deodorants, mouthwashes, etc., and is used to disinfect apparatus, etc., in the food processing and pharmaceutical industries, in surgery, and also as a preservative. The compound is toxic orally as a result of neuromuscular blockade.  ",C27H42ClNO2,448.09,"USP, INN, BAN, JAN","1. Lang E, et al. Cell Physiol Biochem, 2011, 28(2), 347-354."
401,Octocrilene,6-A2,6197-30-4,"125µl,10mMol/L","Octocrylene is an organic compound used as an ingredient in sunscreens and cosmetics. It is an ester formed by the condensation of a diphenylcyanoacrylate with 2-ethylhexanol. It is a viscous, oily liquid that is clear and colorless. This organic compound can penetrate into the skin where it acts as a photosensitizer. This results in an increased production of free radicals under illumination. ",C24H27NO2,361.48,USP,1. Hanson KM. Free Radic Biol Med. 2006 Oct 15;41(8):1205-12.
402,Antepan,6-A3,110-85-0,"125µl,10mMol/L","Piperazine is an organic compound that consists of a six-membered ring containing two opposing nitrogen atoms. Piperazine exists as small alkaline deliquescent crystals with a saline taste. Piperazine was introduced to medicine as a solvent for uric acid. When taken into the body the drug is partly oxidized and partly eliminated unchanged. Outside the body, piperazine has a remarkable power to dissolve uric acid and producing a soluble urate, but in clinical experience it has not proved equally successful. Piperazine was first introduced as an anthelmintic in 1953. A large number of piperazine compounds have anthelmintic action. Their mode of action is generally by paralysing parasites, which allows the host body to easily remove or expel the invading organism.  ",C4H10N2,86.14,USP,"1. Maskell PD, et al. Br J Pharmacol. 2001 Jan;132(1):205-12."
403,Hydroxyquinoline,6-A4,148-24-3,"125µl,10mMol/L","An antiseptic with mild fungistatic, bacteriostatic, anthelmintic, and amebicidal action. It is also used as a reagent and metal chelator, as a carrier for radio-indium for diagnostic purposes, and its halogenated derivatives are used in addition as topical anti-infective agents and oral antiamebics. ",C9H7NO,145.16,USAN,"1. Freitas LB, et al. Eur J Med Chem. 2014 Sep 12;84:595-604."
404,Hexamethylenetetramine,6-A5,100-97-0,"125µl,10mMol/L",Methenamine is an antibiotic used for the treatment of urinary tract infection.,C6H12N4,140.19,"USP, INN, JAN","1. Musher DM, et al. Antimicrob Agents Chemother, 1974, 6(6), 708-711."
405,Acetanilide,6-A6,103-84-4,"125µl,10mMol/L",Acetanilide is an aniline derivative and has possess analgesic.,C8H9NO,135.16,NF,"1. Bertolini A, et al. CNS Drug Rev. 2006 Fall-Winter;12(3-4):250-75."
406,Edaravone,6-A7,89-25-8,"125µl,10mMol/L","A radical scavenger and antioxidant which is able to protect against the effects of ischemia, probably by inhibiting the lipoxygenase system. Protects against MPTP-induced neurotoxicity.",C10H10N2O,174.2,INN,"1. Yoshida H, et al. CNS Drug Rev, 2006, 12(1), 9-20."
407,Dehydrocholic acid,6-A8,81-23-2,"125µl,10mMol/L","A semisynthetic bile acid made from cholic acid. It is used as a cholagogue, hydrocholeretic, diuretic, and as a diagnostic aid.  ",C24H34O5,402.52,"USP, INN, BAN, JAN","1. Mohamed AA, Matijevic E. J Colloid Interface Sci. 2012 Feb 15;368(1):625-8."
408,Phthalylsulfacetamide,6-A9,131-69-1,"125µl,10mMol/L","Parenteral sulfonamides for dysentery, enteritis, and prevention of intestinal infection after surgery.",C16H14N2O6S,362.36,"NF-XIII, BAN",1. ASHER LM. Gastroenterology. 1958 Apr; 34(4):659-60.
409,Modafinil,6-A10,68693-11-8,"125µl,10mMol/L","Modafinil is a stimulant drug marketed as a 'wakefulness promoting agent' and is one of the stimulants used in the treatment of narcolepsy. Narcolepsy is caused by dysfunction of a family of wakefulness-promoting and sleep-suppressing peptides, the orexins, whose neurons are activated by modafinil. The prexin neuron activation is associated with psychoactivation and euphoria. The exact mechanism of action is unclear, although in vitro studies have shown it to inhibit the reuptake of dopamine by binding to the dopamine reuptake pump, and lead to an increase in extracellular dopamine. Modafinil activates glutamatergic circuits while inhibiting GABA.  ",C15H15NO2S,273.35,"USAN, INN, BAN","1. Madras BK, et al. J Pharmacol Exp Ther. 2006 Nov;319(2):561-9."
410,Calcium gluconate,6-A11,299-28-5,"125µl,10mMol/L",Calcium gluconate is a mineral supplement. It is manufactured by the neutralization of gluconic acid with lime or calcium carbonate. ,C14H26CaO16,430.37,USP,"1. Drop LJ, Cullen DJ. Br J Anaesth. 1980 May;52(5):501-5. "
411,Folinic Acid Calcium Salt Pentahydrate ,6-B2,6035-45-6,"125µl,10mMol/L","Leucovorin is a derivative of folic acid, which can be used to increase levels of folic acid under conditions favoring folic acid inhibition.",C21H25CaN7O7.5H2O,511.5,,"1. Van der Wilt CL, et al. Cancer Res, 1992, 52(18), 4922-4928."
412,Idebenone,6-B3,58186-27-9,"125µl,10mMol/L",Idebenone is a synthetic analog of coenzyme Q10 (CoQ10) and a brain stimulant.,C19H30O5,338.45,"INN, BAN","1. Rego AC, et al. Free Radic Biol Med, 1999, 26(11-12), 1405-1417."
413,Cinromide,6-B4,58473-74-8,"125µl,10mMol/L",Cinromide (3-bromo-N-ethylcinnanamide) is used as novel anticonvulsant agent.,C11H12BrNO,254.12,"USAN, INN","1. Fromm GH, et al. Epilepsia. 1983 Aug; 24(4):394-400. "
414,D-Mannitol,6-B5,69-65-8,"125µl,10mMol/L","A diuretic and renal diagnostic aid related to sorbitol. It has little significant energy value as it is largely eliminated from the body before any metabolism can take place. It can be used to treat oliguria associated with kidney failure or other manifestations of inadequate renal function and has been used for determination of glomerular filtration rate. Mannitol is also commonly used as a research tool in cell biological studies, usually to control osmolarity.  ",C6H14O6,182.17,USP,"1. Wang YM, van Eys J. Annu Rev Nutr. 1981; 1:437-75."
415,Guanidine HCl,6-B6,18264,"125µl,10mMol/L","A strong organic base existing primarily as guanidium ions at physiological pH. It is found in the urine as a normal product of protein metabolism. It is also used in laboratory research as a protein denaturant. (From Martindale, the Extra Pharmacopoeia, 30th ed and Merck Index, 12th ed) It is also used in the treatment of myasthenia and as a fluorescent probe in HPLC. ",CH6ClN3,95.53,USP,"1. Pace CN. Methods Enzymol, 1986, 131, 266-280.
"
416,Sodium gluconate,6-B7,527-07-1,"125µl,10mMol/L",Sodium gluconate is the sodium salt of gluconic acid widely used in food and pharmaceutical industry.,C6H11NaO7,218.14,USP,"1. Ramachandran S, et al. Food Technol. Biotechnol, 2006, 44(2) 185-195."
417,Armodafinil,6-B8,112111-43-0,"125µl,10mMol/L","Modafinil is a stimulant drug marketed as a ‘wakefulness promoting agent’ and is one of the stimulants used in the treatment of narcolepsy. Narcolepsy is caused by dysfunction of a family of wakefulness-promoting and sleep-suppressing peptides, the orexins, whose neurons are activated by modafinil. The prexin neuron activation is associated with psychoactivation and euphoria. The exact mechanism of action is unclear, although in vitro studies have shown it to inhibit the reuptake of dopamine by binding to the dopamine reuptake pump, and lead to an increase in extracellular dopamine. Modafinil activates glutamatergic circuits while inhibiting GABA.",C15H15NO2S,273.36,USAN,"1. Zhou J, et al. J Med Chem. 2004 Nov 18; 47(24):5821-4."
418,Allylthiourea,6-B9,109-57-9,"125µl,10mMol/L",Allylthiourea is a metabolic inhibitor that selective inhibits ammonia oxidation.,C4H8N2S,116.19,INN,"1. Ginestet P, et al. Appl Environ Microbiol, 1998, 64(6), 2266-2268."
419,Testosterone propionate,6-B10,57-85-2,"125µl,10mMol/L",An ester of TESTOSTERONE with a propionate substitution at the 17-beta position.  ,C22H32O3,344.49,"USP, JAN","1. Small EJ, Ryan CJ. J Urol. 2006 Dec; 176(6 Pt 2):S66-71."
420,Pentetic Acid,6-B11,67-43-6,"125µl,10mMol/L","An iron chelating agent with properties like EDETIC ACID. DTPA has also been used as a chelator for other metals, such as plutonium.  ",C14H23N3O10,393.35,"USP, INN, BAN","1. Gi M, et al. Antimicrob Agents Chemother. 2014 Dec; 58(12):7205-14. "
421,Inositol,6-C2,87-89-8,"125µl,10mMol/L","An isomer of glucose that has traditionally been considered to be a B vitamin although it has an uncertain status as a vitamin and a deficiency syndrome has not been identified in man. (From Martindale, The Extra Pharmacopoeia, 30th ed, p1379) Inositol phospholipids are important in signal transduction. 
",C6H12O6,180.16,NF-XII,"1. Chen X, et al. Nucleic Acids Res. 2002 Jan 1; 30(1):412-5. "
422,Talc,6-C3,14807-96-6,"125µl,10mMol/L","Talc is a mineral composed of hydrated magnesium silicate with the chemical formula H2Mg3(SiO3)4 or Mg3Si4O10(OH)2. Talc is used in many industries such as paper making, plastic, paint and coatings, rubber, food, electric cable, pharmaceuticals, cosmetics, ceramics, etc.",3MgO.4SiO2.H2O,379.27,USP,"1. Ahmed L, et al. Chest. 2014 Dec; 146(6):e190-4. "
423,Ethylenediaminetetraacetic acid trisodium salt solution,6-C4,150-38-9,"125µl,10mMol/L",Edetate Trisodium is used as a chelator.,C10H13N2Na3O8.2H2O,394.22,USAN,"1. Stowers JM, et al. Lancet. 1967 Jan 21;1(7482):124-7."
424,Bismuth subsalicylat,6-C5,14882-18-9,"125µl,10mMol/L","Bismuth subsalicylate is used to treat diarrhea in adults and teenagers. It is also used to relieve the symptoms of an upset stomach, such as heartburn, indigestion, and nausea in adults and teenagers.",C7H5BiO4,362.09,"USP, JAN","1. Pitz AM, et al. Gut Microbes. 2015 Mar 4; 6(2):93-100. "
425,Pefloxacin,6-C6,70458-92-3,"125µl,10mMol/L",antibacterial;DNA gyrase inhibitor,C17H20FN3O3,333.36,USP,"Centers for Disease Control and Prevention (CDC) (April 2007). ""Update to CDC's sexually transmitted diseases treatment guidelines, 2006: fluoroquinolones no longer recommended for treatment of gonococcal infections"". MMWR Morb. Mortal. Wkly. Rep. 56 (14): 332–6. PMID 17431378"
426,Piracetam,6-C7,7491-74-9,"125µl,10mMol/L","Piracetam is a cyclic derivative of the neurotransmitter gamma-aminobutyric acid (GABA), used in treatment of a wide range of cognitive disorders.",C6H10N2O2,142.16,"USAN, INN, BAN","1. Mingeot-Leclercq MP, et al. Biochim Biophys Acta, 2003, 1609(1), 28-38."
427,Homatropine Methylbromide,6-C8,80-49-9,"125µl,10mMol/L","Homatropine methylbromide is a quaternary ammonium muscarinic acetylcholine receptor antagonist belonging to the group of medicines called anti-muscarinics. Homatropine is used to treat duodenal or stomach ulcers or intestine problems. It can be used together with antacids or other medicine in the treatment of peptic ulcer. It may also be used to prevent nausea, vomiting, and motion sickness.  ",C17H24BrNO3,370.29,"USP, INN, BAN","1. Bryant SM, et al. J Med Toxicol, 2006, 2(4), 156-159."
428,Alverine citrate,6-C9,5560-59-8,"125µl,10mMol/L",Alverine citrate is a drug used for functional gastrointestinal disorders.,C26H35NO7,473.57,"USAN, INN, BAN","1. Coelho AM, et al. J Pharm Pharmacol. 2001 Oct; 53(10):1419-26."
429,Glucosamine,6-C10,3416-24-8,"125µl,10mMol/L","Glucosamine is commonly used as a treatment for osteoarthritis, although its acceptance as a medical therapy varies. It is an amino sugar and a prominent precursor in the biochemical synthesis of glycosylated proteins and lipids. Since glucosamine is a precursor for glycosaminoglycans, and glycosaminoglycans are a major component of joint cartilage, supplemental glucosamine may help to rebuild cartilage and treat arthritis.  ",C6H13NO5,179.17,"USAN, NF-XXI","1. Fenton JI, et al. Equine Vet J Suppl. 2002 Sep;(34):219-23. "
430,Atropine sulfate monohydrate,6-C11,5908-99-6,"125µl,10mMol/L","Atropine is an antimuscarinic agent and has shown the pharmacological effects because of binding to muscarinic acetylcholine receptors. Atropine, the orthosteric antagonist, has been reported to compete with [3H]-NMS for all muscarinic subtypes with a potency consistent with the high affinities at the mAChR subtypes",C34H46N2O6·H2SO4·H2O,694.83,"USP, BAN","1. Huang XP, et al. J Pharmacol Exp Ther. 1998 Sep; 286(3):1129-39. "
431,Sulfacetamide sodium,6-D2,127-56-0,"125µl,10mMol/L",An anti-infective agent that is used topically to treat skin infections and orally for urinary tract infections.,C8H9N2NaO3S.XH2O,236.22,"USP, INN, BAN","1. Hanna C, et al. Ann Ophthalmol. 1985 Sep;17(9):560-4."
432,Diclofenac diethylamine,6-D3,78213-16-8,"125µl,10mMol/L",Diclofenac diethylamine is a nonsteroidal anti-inflammatory drug taken to reduce inflammation and as an analgesic reducing pain in certain conditions.,C18H22Cl2N2O2,369.29,"USP, CP","1. Dastidar SG, et al. Int J Antimicrob Agents, 2000, 14(3), 249-251."
433,Artesunate,6-D4,88495-63-0,"125µl,10mMol/L",Artesunate is a part of the artemisinin group of agents with an IC50 of < 5 µM for small cell lung carcinoma cell line H69. Artesunate is a semi-synthetic derivative of artemisinin that is water-soluble and may therefore be given by injection. Artesunate is used primarily as treatment for malaria; but artesunate has also been shown to be >90% efficacious at reducing egg production in Schistosoma haematobium infection.,C19H28O8,384.42,"USAN, INN, BAN","1. Cui C, et al. Int Immunopharmacol. 2015 Jul;27(1):110-21. "
434,Dicurone,6-D5,32449-92-6,"125µl,10mMol/L",Glucuronolactone is a naturally occurring chemical that is an important structural component of nearly all connective tissues. Glucuronolactone is also found in many plant gums.,C6H8O6,176.12,,"1. Suzuki S, et al. J Chromatogr Sci. 1998 Jul;36(7):357-60."
435,Sulfinpyrazone,6-D6,57-96-5,"125µl,10mMol/L","A uricosuric drug that is used to reduce the serum urate levels in gout therapy. It lacks anti-inflammatory, analgesic, and diuretic properties.",C23H20N2O3S,404.48,"USP, INN, BAN, JAN","1. Pay GF, et al. Haemostasis. 1981;10(3):165-75."
436,Acexamic Acid,6-D7,21041,"125µl,10mMol/L",6-Acetamidohexanoic acid is a kind of amino acids deriviate.,C8H15NO3,173.21,"INN, BAN","1. Lee U, et al. Xenobiotica. 2012 Mar;42(3):310-5. "
437,Inosine,6-D8,58-63-9,"125µl,10mMol/L",A purine nucleoside that has hypoxanthine linked by the N9 nitrogen to the C1 carbon of ribose. It is an intermediate in the degradation of purines and purine nucleosides to uric acid and in pathways of purine salvage. It also occurs in the anticodon of certain transfer RNA molecules.,C10H12N4O5,268.23,"INN, JAN","1. Krebs HA, et al. Biochim Biophys Acta, 1953, 12(1-2), 172-180."
438,Proflavine Hemisulfate,6-D9,1811-28-5,"125µl,10mMol/L","Proflavine Hemisulfate is a topical antiseptic by interchelating DNA, thereby disrupting DNA synthesis and leading to high levels of mutation in the copied DNA strands.",C26H24N604S,516.57,"INN, NF-IX","1. Stokowa K, et al. J Inorg Biochem, 2012, 106(1), 111-116."
439,L-Tryptophan,6-D10,73-22-3,"125µl,10mMol/L","An essential amino acid that is necessary for normal growth in infants and for NITROGEN balance in adults. It is a precursor of INDOLE ALKALOIDS in plants. It is a precursor of SEROTONIN (hence its use as an antidepressant and sleep aid). It can be a precursor to NIACIN, albeit inefficiently, in mammals. ",C11H12N2O2,204.23,"USP, INN, JAN","1. Tsuchiya W, et al. Nucleic Acids Symp Ser (Oxf). 2004;(48):185-6. "
440,Oxcarbazepine,6-D11,28721-07-5,"125µl,10mMol/L","Oxcarbazepine is structurally a derivative of carbamazepine, adding an extra oxygen atom to the benzylcarboxamide group. This difference helps reduce the impact on the liver of metabolizing the drug, and also prevents the serious forms of anemia occasionally associated with carbamazepine. Aside from this reduction in side effects, it is thought to have the same mechanism as carbamazepine - sodium channel inhibition - and is generally used to treat partial seizures in epileptic children and adults. 
",C15H12N2O2,252.27,"USAN, INN, BAN","1. Vohora D, et al. Drugs Today (Barc). 2010 Apr; 46(4):265-77."
441,Pasiniazid,6-E2,2066-89-9,"125µl,10mMol/L",synthesis by conbination of isoniazid and p-aminosalicylic acid,C13H14N4O4,290.28,INN,"1. Pym AS, et al. Mol Microbiol. 2001 May;40(4):879-89. "
442,Bucetin,6-E3,1083-57-4,"125µl,10mMol/L","Bucetin is a pharmaceutical drug that acts as an analgesic and antipyretic. Chemically, it is similar to phenacetin with which it shares the risk of carcinogenesis. Bucetin was withdrawn from use in 1986 due to renal toxicity",C12H17NO3,223.27,"INN, BAN, JAN","1. Togei, K, et al. Journal of the National Cancer Institute, 79 (5): 1151–8. "
443,SALICOSIDE,6-E4,138-52-3,"125µl,10mMol/L",Salicin is a phenol ß-glycosid produced from willow bark that shows anti-inflammatory effects.,C13H18O7,286.28,USP-IX,"1. Wei W, et al. J Asian Nat Prod Res. 2015 Apr 23:1-6. "
444,Econazole,6-E5,27220-47-9,"125µl,10mMol/L",A broad spectrum antimycotic with some action against Gram positive bacteria. It is used topically in dermatomycoses also orally and parenterally. ,C18H15Cl3N2O,381.68,"USAN, INN, BAN","1. Ge S, et al.  Int J Pharm. 2014 Apr 25; 465(1-2):120-31."
445,Promethazine,6-E6,60-87-7,"125µl,10mMol/L","A phenothiazine derivative with histamine H1-blocking, antimuscarinic, and sedative properties. It is used as an antiallergic, in pruritus, for motion sickness and sedation, and also in animals. ",C17H20N2S,284.42,"USP, INN, BAN, JAN","1. Suzuki A, et al. Ther Drug Monit. 2003 Apr; 25(2):192-6."
446,Naphazoline HCl,6-E7,550-99-2,"125µl,10mMol/L",Naphazoline HCl is an ocular vasoconstrictor and imidazoline derivative sympathomimetic amine.,C14H15ClN2,246.74,"USP, INN, BAN, JAN","1. Piletz JE, et al. J Pharmacol Exp Ther. 1996 Nov; 279(2):694-702. "
447,Carvedilol,6-E8,72956-09-3,"125µl,10mMol/L",Carvedilol is a non-selective beta blocker/alpha-1 blocker with an IC50 of 3.8 µM for inhibition of LDL oxidation.,C24H26N2O4,406.47,"USAN, INN, BAN, JAN","1. Koshimizu TA, et al. Cardiovasc Res. 2004 Sep 1; 63(4):662-72."
448,Dexibuprofen,6-E9,51146-56-6,"125µl,10mMol/L","S(+)-Ibuprofen is capable of inhibiting cyclooxygenase (COX) at clinically relevant concentrations, R(-)-ibuprofen is not a COX inhibitor.",C13H18O2,206.28,"USAN, INN, BAN","1. Sanchez-Fidalgo S, et al. Eur J Pharmacol. 2004 Nov 28; 505(1-3):187-94. "
449,Menadione,6-E10,58-27-5,"125µl,10mMol/L","A synthetic naphthoquinone without the isoprenoid side chain and biological activity, but can be converted to active vitamin K2, menaquinone, after alkylation in vivo. ",C11H8O2,172.18,"USP, BAN","1. Wang Z, et al. Hepatology. 1995 Sep; 22(3):876-82. "
450,Fluoxetine,6-E11,54910-89-3,"125µl,10mMol/L",The first highly specific serotonin uptake inhibitor. It is used as an antidepressant and often has a more acceptable side-effects profile than traditional antidepressants. ,C17H19ClF3NO,345.79,"USAN, INN, BAN","1. Richman A, et al. Epilepsy Res. 2007 Apr; 74(1):19-27."
451,Minoxidil,6-F2,38304-91-5,"125µl,10mMol/L","A potent direct-acting peripheral vasodilator (vasodilator agents) that reduces peripheral resistance and produces a fall in blood pressure. (From Martindale, The Extra Pharmacopoeia, 30th ed, p371)",C9H15N5O,209.25,"USP, INN, BAN","1. Evans JM, et al. J Exp Biol. 2005 Oct; 208(Pt 19):3771-83."
452,Dropropizine,6-F3,17692-31-8,"125µl,10mMol/L","Dropropizine is a racemic non-opiate antitussive agent, it is used as a cough suppressant.",C13H20N2O2,236.31,"INN, BAN","1. Slamenova D, et al. Mutat Res, 1986 Mar, 169(3), 171-177."
453,Phenylephrine HCl,6-F4,61-76-7,"125µl,10mMol/L",Phenylephrine HCl is a selective a1-adrenergic receptor agonist.,C9H14ClNO2,203.67,"USP, INN, BAN, JAN","1. Tomiyama Y, et al. Eur J Pharmacol. 2007 Nov 14; 573(1-3):201-5."
454,Florfenicol,6-F5,76639-94-6,"125µl,10mMol/L","Florfenicol is a fluorinated synthetic analog of thiamphenicol. In the United States, florfenicol is currently indicated for the treatment of bovine respiratory disease (BRD) associated with Mannheimia (Pasteurella) haemolytica, Pasteurella multocida, and Haemophilus somnus, for treatment of bovine interdigital phlegmon (foot rot, acute interdigital necrobacillosis, infectious pododermatitis) associated with Fusobacterium necrophorum and Bacteroides melaninogenicus. Florfenicol is also used in aquaculture, and is licensed for use in the United States for the control of enteric septicemia in catfish.",C12H14Cl2FNO4S,358.21,"USAN, INN, BAN","1. Thiry J, et al. Vet Rec. 2014 Apr 26; 174(17):430. "
455,Cilostazol,6-F6,73963-72-1,"125µl,10mMol/L","Cilostazol is a medication used in the alleviation of the symptom of intermittent claudication in individuals with peripheral vascular disease. It is manufactured by Otsuka Pharmaceutical Co. under the trade name Pletal. Although drugs similar to cilostazol have increased the risk of death in patients with congestive heart failure, studies of significant size have not addressed people without the disease.  ",C20H27N5O2,369.46,"USAN, INN, BAN, JAN","1. Rondina MT, Weyrich AS. Handb Exp Pharmacol 2012(210):225-238."
456,Clozapine,6-F7,5786-21-0,"125µl,10mMol/L","A tricylic dibenzodiazepine, classified as an atypical antipsychotic agent. It binds several types of central nervous system receptors, and displays a unique pharmacological profile. Clozapine is a serotonin antagonist, with strong binding to 5-HT 2A/2C receptor subtype. It also displays strong affinity to several dopaminergic receptors, but shows only weak antagonism at the dopamine D2 receptor, a receptor commonly thought to modulate neuroleptic activity. Agranulocytosis is a major adverse effect associated with administration of this agent.  ",C18H19ClN4,326.82,"USP, INN, BAN","1. Brunello N, et al. Neuropsychopharmacology, 1995, 13(3), 177-213."
457,Cinchophen,6-F8,132-60-5,"125µl,10mMol/L",Cinchophen is an analgesic drug that is frequently used to treat gout.,C16H11NO2,249.26,"NF-X. INN, BAN","1. Cutrín Prieto C, et al. Med Clin (Barc). 1991 Jun 15; 97(3):104-6."
458,Probenecid,6-F9,57-66-9,"125µl,10mMol/L","The prototypical uricosuric agent. It inhibits the renal excretion of organic anions and reduces tubular reabsorption of urate. Probenecid has also been used to treat patients with renal impairment, and, because it reduces the renal tubular excretion of other drugs, has been used as an adjunct to antibacterial therapy. ",C13H19NO4S,285.36,"USP, INN, BAN, JAN","1. McDonough PM, et al. Cell Calcium, 1989, 10(3), 171-180. "
